city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Bangalore,18-04-2008,BB McCullum,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140
Chandigarh,19-04-2008,MEK Hussey,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33
Delhi,19-04-2008,MF Maharoof,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9
Kolkata,20-04-2008,DJ Hussey,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5
Mumbai,20-04-2008,MV Boucher,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5
Jaipur,21-04-2008,SR Watson,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6
Hyderabad,22-04-2008,V Sehwag,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9
Chennai,23-04-2008,ML Hayden,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6
Hyderabad,24-04-2008,YK Pathan,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Chandigarh,25-04-2008,KC Sangakkara,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66
Bangalore,26-04-2008,SR Watson,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Chennai,26-04-2008,JDP Oram,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9
Chandigarh,27-04-2008,SM Katich,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4
Mumbai,27-04-2008,AC Gilchrist,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10
Bangalore,28-04-2008,MS Dhoni,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13
Kolkata,29-04-2008,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7
Delhi,30-04-2008,GD McGrath,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10
Hyderabad,01-05-2008,SE Marsh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7
Jaipur,01-05-2008,SA Asnodkar,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45
Chennai,02-05-2008,V Sehwag,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8
Bangalore,03-05-2008,P Kumar,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3
Chandigarh,03-05-2008,IK Pathan,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9
Jaipur,04-05-2008,Sohail Tanvir,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8
Mumbai,04-05-2008,SM Pollock,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29
Bangalore,05-05-2008,S Sreesanth,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Chennai,06-05-2008,AC Gilchrist,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7
Mumbai,07-05-2008,A Nehra,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7
Delhi,08-05-2008,MS Dhoni,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4
Kolkata,08-05-2008,SC Ganguly,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5
Jaipur,09-05-2008,YK Pathan,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8
Chennai,10-05-2008,L Balaji,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,runs,18
Hyderabad,11-05-2008,SC Ganguly,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23
Jaipur,11-05-2008,SR Watson,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Chandigarh,12-05-2008,SE Marsh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,9
Kolkata,13-05-2008,Shoaib Akhtar,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23
Mumbai,14-05-2008,ST Jayasuriya,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9
Delhi,15-05-2008,A Mishra,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,runs,12
Mumbai,16-05-2008,SM Pollock,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,8
Delhi,17-05-2008,DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,runs,6
Jaipur,17-05-2008,GC Smith,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,runs,65
Hyderabad,18-05-2008,DJ Bravo,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,25
Kolkata,18-05-2008,M Ntini,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,runs,3
Bangalore,19-05-2008,SP Goswami,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5
Kolkata,20-05-2008,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6
Chennai,21-05-2008,A Kumble,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,14
Mumbai,21-05-2008,SE Marsh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,1
Chandigarh,23-05-2008,SE Marsh,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Chennai,24-05-2008,JA Morkel,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10
Delhi,24-05-2008,KD Karthik,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,5
Hyderabad,25-05-2008,R Vinay Kumar,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,5
Kolkata,25-05-2008,Umar Gul,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders,wickets,3
Jaipur,26-05-2008,Sohail Tanvir,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5
Hyderabad,27-05-2008,SK Raina,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,wickets,7
Bangalore,28-05-2008,CRD Fernando,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9
Chandigarh,28-05-2008,SE Marsh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,41
Mumbai,30-05-2008,SR Watson,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals,runs,105
Mumbai,31-05-2008,M Ntini,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Chennai Super Kings,wickets,9
Mumbai,01-06-2008,YK Pathan,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Cape Town,18-04-2009,R Dravid,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,75
Cape Town,18-04-2009,SR Tendulkar,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,19
Cape Town,19-04-2009,RP Singh,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Deccan Chargers,wickets,8
Cape Town,19-04-2009,DL Vettori,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,wickets,10
Port Elizabeth,20-04-2009,M Muralitharan,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,92
Durban,21-04-2009,CH Gayle,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,11
Cape Town,22-04-2009,AC Gilchrist,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,24
Cape Town,23-04-2009,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,NA
Durban,23-04-2009,AB de Villiers,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,runs,9
Durban,24-04-2009,RS Bopara,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,7
Durban,25-04-2009,PP Ojha,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,12
Cape Town,26-04-2009,KC Sangakkara,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,runs,27
Port Elizabeth,26-04-2009,TM Dilshan,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,wickets,6
Durban,27-04-2009,HH Gibbs,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6
Port Elizabeth,27-04-2009,SR Tendulkar,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,92
Centurion,28-04-2009,YK Pathan,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,wickets,5
Durban,29-04-2009,KC Sangakkara,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,runs,3
Durban,29-04-2009,MV Boucher,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,5
Centurion,30-04-2009,SK Raina,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38
Centurion,30-04-2009,DP Nannes,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6
Durban,01-05-2009,Yuvraj Singh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,8
East London,01-05-2009,JP Duminy,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9
Johannesburg,02-05-2009,SB Jakati,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,runs,18
Port Elizabeth,02-05-2009,YK Pathan,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,wickets,3
Johannesburg,03-05-2009,JH Kallis,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,9
Port Elizabeth,03-05-2009,DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,6
East London,04-05-2009,MS Dhoni,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,78
Durban,05-05-2009,G Gambhir,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Daredevils,wickets,9
Durban,05-05-2009,GC Smith,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,78
Centurion,06-05-2009,RG Sharma,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,19
Centurion,07-05-2009,ML Hayden,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,12
Centurion,07-05-2009,A Singh,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7
East London,08-05-2009,A Nehra,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,wickets,7
Kimberley,09-05-2009,S Badrinath,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7
Kimberley,09-05-2009,DPMD Jayawardene,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,3
Johannesburg,10-05-2009,A Mishra,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Delhi Daredevils,wickets,7
Port Elizabeth,10-05-2009,JP Duminy,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16
Kimberley,11-05-2009,DR Smith,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,runs,53
Centurion,12-05-2009,Harbhajan Singh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,8
Centurion,12-05-2009,LRPL Taylor,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6
Durban,13-05-2009,R Bhatia,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Delhi Daredevils,runs,12
Durban,14-05-2009,SK Warne,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2
Durban,14-05-2009,LRPL Taylor,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bangalore,wickets,2
Johannesburg,16-05-2009,RG Sharma,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Deccan Chargers,wickets,6
Port Elizabeth,16-05-2009,ML Hayden,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7
Johannesburg,17-05-2009,Yuvraj Singh,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,runs,1
Centurion,18-05-2009,BJ Hodge,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,7
Johannesburg,19-05-2009,JH Kallis,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,Royal Challengers Bangalore,wickets,7
Durban,20-05-2009,M Muralitharan,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,24
Durban,20-05-2009,LR Shukla,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4
Centurion,21-05-2009,MK Pandey,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,12
Centurion,21-05-2009,V Sehwag,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,4
Centurion,22-05-2009,AC Gilchrist,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6
Johannesburg,23-05-2009,MK Pandey,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6
Johannesburg,24-05-2009,A Kumble,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,Deccan Chargers,runs,6
Mumbai,12-03-2010,AD Mathews,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Kolkata Knight Riders,runs,11
Chandigarh,13-03-2010,G Gambhir,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5
Mumbai,13-03-2010,YK Pathan,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,4
Chennai,14-03-2010,WPUJC Vaas,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,31
Kolkata,14-03-2010,MK Tiwary,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7
Ahmedabad,15-03-2010,V Sehwag,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6
Bangalore,16-03-2010,JH Kallis,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,8
Kolkata,16-03-2010,MS Dhoni,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,55
Delhi,17-03-2010,SR Tendulkar,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians,runs,98
Bangalore,18-03-2010,JH Kallis,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10
Cuttack,19-03-2010,A Symonds,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,runs,6
Delhi,19-03-2010,ML Hayden,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,wickets,5
Ahmedabad,20-03-2010,AA Jhunjhunwala,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,34
Mumbai,20-03-2010,JH Kallis,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,7
Chennai,21-03-2010,J Theron,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,tie,NA
Cuttack,21-03-2010,A Symonds,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,runs,10
Mumbai,22-03-2010,SR Tendulkar,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7
Bangalore,23-03-2010,RV Uthappa,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,36
Chandigarh,24-03-2010,AC Voges,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,31
Bangalore,25-03-2010,KM Jadhav,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,Delhi Daredevils,runs,17
Mumbai,25-03-2010,SR Tendulkar,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,5
Ahmedabad,26-03-2010,YK Pathan,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Rajasthan Royals,wickets,8
Chandigarh,27-03-2010,MK Tiwary,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,39
Ahmedabad,28-03-2010,NV Ojha,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,17
Mumbai,28-03-2010,Harbhajan Singh,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,41
Delhi,29-03-2010,DA Warner,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,runs,40
Mumbai,30-03-2010,SL Malinga,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,4
Chennai,31-03-2010,M Vijay,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,5
Delhi,31-03-2010,KD Karthik,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,runs,67
Kolkata,01-04-2010,SC Ganguly,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,24
Chandigarh,02-04-2010,KP Pietersen,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,6
Chennai,03-04-2010,M Vijay,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,23
Mumbai,03-04-2010,AT Rayudu,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,runs,63
Delhi,04-04-2010,PD Collingwood,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,runs,37
Kolkata,04-04-2010,DPMD Jayawardene,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,8
Nagpur,05-04-2010,SK Warne,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2
Chennai,06-04-2010,SK Raina,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,24
Jaipur,07-04-2010,MJ Lumb,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,9
Kolkata,07-04-2010,SC Ganguly,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,14
Bangalore,08-04-2010,TL Suman,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7
Chandigarh,09-04-2010,KC Sangakkara,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,wickets,6
Bangalore,10-04-2010,R Vinay Kumar,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7
Nagpur,10-04-2010,RJ Harris,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,Deccan Chargers,wickets,6
Delhi,11-04-2010,PP Chawla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,wickets,7
Jaipur,11-04-2010,SR Tendulkar,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,runs,37
Nagpur,12-04-2010,Harmeet Singh,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,runs,13
Chennai,13-04-2010,R Ashwin,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9
Mumbai,13-04-2010,KA Pollard,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,runs,39
Jaipur,14-04-2010,KP Pietersen,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,5
