city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Chennai,15-04-2010,G Gambhir,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,6
Dharamsala,16-04-2010,RG Sharma,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,5
Bangalore,17-04-2010,R McLaren,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,57
Kolkata,17-04-2010,JD Unadkat,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,wickets,8
Delhi,18-04-2010,A Symonds,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,11
Dharamsala,18-04-2010,MS Dhoni,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6
Kolkata,19-04-2010,M Kartik,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,wickets,9
Mumbai,21-04-2010,KA Pollard,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,35
Mumbai,22-04-2010,DE Bollinger,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,38
Mumbai,24-04-2010,A Kumble,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,9
Mumbai,25-04-2010,SK Raina,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,22
Chennai,08-04-2011,S Anirudha,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,2
Hyderabad,09-04-2011,SK Trivedi,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,8
Kochi,09-04-2011,AB de Villiers,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,wickets,6
Delhi,10-04-2011,SL Malinga,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,wickets,8
Mumbai,10-04-2011,SB Wagh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Pune Warriors,wickets,7
Kolkata,11-04-2011,JH Kallis,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,9
Bangalore,12-04-2011,SR Tendulkar,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9
Jaipur,12-04-2011,SK Warne,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Rajasthan Royals,wickets,6
Chandigarh,13-04-2011,PC Valthaty,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Mumbai,13-04-2011,MD Mishra,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Pune Warriors,wickets,4
Hyderabad,14-04-2011,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,runs,33
Jaipur,15-04-2011,G Gambhir,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9
Mumbai,15-04-2011,BB McCullum,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8
Chennai,16-04-2011,MEK Hussey,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,runs,21
Hyderabad,16-04-2011,PC Valthaty,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8
Kolkata,17-04-2011,L Balaji,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8
Mumbai,17-04-2011,Yuvraj Singh,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,3
Kochi,18-04-2011,BB McCullum,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7
Delhi,19-04-2011,S Sohal,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,16
Kolkata,20-04-2011,DPMD Jayawardene,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,6
Mumbai,20-04-2011,MM Patel,Mumbai Indians,Pune Warriors,Pune Warriors,bat,Mumbai Indians,wickets,7
Chandigarh,21-04-2011,SE Marsh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,48
Kolkata,22-04-2011,CH Gayle,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9
Mumbai,22-04-2011,Harbhajan Singh,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,8
Delhi,23-04-2011,DA Warner,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils,runs,29
Hyderabad,24-04-2011,SL Malinga,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,37
Jaipur,24-04-2011,SK Warne,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Rajasthan Royals,wickets,8
Chennai,25-04-2011,MEK Hussey,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,runs,25
Delhi,26-04-2011,V Kohli,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3
Kochi,27-04-2011,I Sharma,Kochi Tuskers Kerala,Deccan Chargers,Kochi Tuskers Kerala,field,Deccan Chargers,runs,55
Mumbai,27-04-2011,DE Bollinger,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings,wickets,8
Delhi,28-04-2011,MK Tiwary,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Kolkata Knight Riders,runs,17
Bangalore,29-04-2011,V Kohli,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,runs,26
Jaipur,29-04-2011,J Botha,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Kochi,30-04-2011,V Sehwag,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,runs,38
Kolkata,30-04-2011,Iqbal Abdulla,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8
Chennai,01-05-2011,JA Morkel,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,19
Jaipur,01-05-2011,LRPL Taylor,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Rajasthan Royals,wickets,6
Delhi,02-05-2011,P Parameswaran,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7
Mumbai,02-05-2011,KA Pollard,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,23
Hyderabad,03-05-2011,YK Pathan,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Kolkata Knight Riders,runs,20
Chennai,04-05-2011,MEK Hussey,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,8
Mumbai,04-05-2011,R Sharma,Pune Warriors,Mumbai Indians,Pune Warriors,field,Mumbai Indians,runs,21
Hyderabad,05-05-2011,V Sehwag,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,4
Kochi,05-05-2011,BJ Hodge,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,17
Bangalore,06-05-2011,CH Gayle,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,85
Kolkata,07-05-2011,Iqbal Abdulla,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,runs,10
Mumbai,07-05-2011,AT Rayudu,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,32
Bangalore,08-05-2011,CH Gayle,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,wickets,9
Chandigarh,08-05-2011,R Sharma,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,wickets,5
Jaipur,09-05-2011,M Vijay,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,runs,63
Chandigarh,10-05-2011,BA Bhatt,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,76
Hyderabad,10-05-2011,MR Marsh,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors,wickets,6
Jaipur,11-05-2011,S Aravind,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9
Chennai,12-05-2011,MS Dhoni,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,runs,18
Indore,13-05-2011,KD Karthik,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Bangalore,14-05-2011,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4
Mumbai,14-05-2011,A Mishra,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,10
Dharamsala,15-05-2011,PP Chawla,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,runs,29
Indore,15-05-2011,BJ Hodge,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8
Mumbai,16-05-2011,A Mishra,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6
Dharamsala,17-05-2011,AC Gilchrist,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,runs,111
Chennai,18-05-2011,WP Saha,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings,runs,11
Mumbai,19-05-2011,YK Pathan,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7
Mumbai,20-05-2011,SR Watson,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,10
Delhi,21-05-2011,NA,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,NA,NA,NA
Dharamsala,21-05-2011,S Dhawan,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Deccan Chargers,runs,82
Bangalore,22-05-2011,CH Gayle,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8
Kolkata,22-05-2011,JEC Franklin,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5
Mumbai,24-05-2011,SK Raina,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6
Mumbai,25-05-2011,MM Patel,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4
Chennai,27-05-2011,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,runs,43
Chennai,28-05-2011,M Vijay,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,runs,58
Chennai,04-04-2012,RE Levi,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8
Kolkata,05-04-2012,IK Pathan,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,8
Jaipur,06-04-2012,AM Rahane,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,runs,31
Mumbai,06-04-2012,SPD Smith,Mumbai Indians,Pune Warriors,Mumbai Indians,field,Pune Warriors,runs,28
Bangalore,07-04-2012,AB de Villiers,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,runs,20
Visakhapatnam,07-04-2012,RA Jadeja,Deccan Chargers,Chennai Super Kings,Deccan Chargers,field,Chennai Super Kings,runs,74
Jaipur,08-04-2012,BJ Hodge,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,runs,22
Pune,08-04-2012,MN Samuels,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors,runs,22
Visakhapatnam,09-04-2012,RG Sharma,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,wickets,5
Bangalore,10-04-2012,L Balaji,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,42
Delhi,10-04-2012,M Morkel,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,Delhi Daredevils,wickets,8
Mumbai,11-04-2012,KA Pollard,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,27
Chandigarh,12-04-2012,AD Mascarenhas,Kings XI Punjab,Pune Warriors,Kings XI Punjab,field,Kings XI Punjab,wickets,7
Chennai,12-04-2012,F du Plessis,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,5
Kolkata,13-04-2012,Shakib Al Hasan,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,wickets,5
Pune,14-04-2012,JD Ryder,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Pune Warriors,wickets,7
Bangalore,15-04-2012,AM Rahane,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,59
Kolkata,15-04-2012,SP Narine,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kings XI Punjab,runs,2
Mumbai,16-04-2012,S Nadeem,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,7
Bangalore,17-04-2012,CH Gayle,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,bat,Royal Challengers Bangalore,wickets,6
Jaipur,17-04-2012,BJ Hodge,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Rajasthan Royals,wickets,5
Chandigarh,18-04-2012,G Gambhir,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,wickets,8
Chennai,19-04-2012,KMDN Kulasekara,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,runs,13
Delhi,19-04-2012,KP Pietersen,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Delhi Daredevils,wickets,5
Chandigarh,20-04-2012,CH Gayle,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5
Chennai,21-04-2012,F du Plessis,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7
Delhi,21-04-2012,SC Ganguly,Delhi Daredevils,Pune Warriors,Delhi Daredevils,field,Pune Warriors,runs,20
Cuttack,22-04-2012,B Lee,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5
Mumbai,22-04-2012,SE Marsh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,wickets,6
Jaipur,23-04-2012,AB de Villiers,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,runs,46
Pune,24-04-2012,V Sehwag,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,wickets,8
Chandigarh,25-04-2012,AT Rayudu,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,4
Pune,26-04-2012,CL White,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,18
Delhi,27-04-2012,V Sehwag,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,runs,37
Chennai,28-04-2012,Mandeep Singh,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Kings XI Punjab,runs,7
Kolkata,28-04-2012,G Gambhir,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,47
Delhi,29-04-2012,V Sehwag,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,runs,1
Mumbai,29-04-2012,DW Steyn,Mumbai Indians,Deccan Chargers,Mumbai Indians,field,Mumbai Indians,wickets,5
Chennai,30-04-2012,G Gambhir,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,5
Cuttack,01-05-2012,KC Sangakkara,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,runs,13
Jaipur,01-05-2012,P Negi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,wickets,6
Bangalore,02-05-2012,Azhar Mahmood,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,4
Pune,03-05-2012,SL Malinga,Pune Warriors,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,1
Chennai,04-05-2012,SK Raina,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,10
Chandigarh,05-05-2012,SR Watson,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,43
Kolkata,05-05-2012,SP Narine,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,7
Bangalore,06-05-2012,AB de Villiers,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5
Mumbai,06-05-2012,DR Smith,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,2
Delhi,07-05-2012,JH Kallis,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,wickets,6
Hyderabad,08-05-2012,Mandeep Singh,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,runs,25
Pune,08-05-2012,SR Watson,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,wickets,7
Mumbai,09-05-2012,CH Gayle,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9
Hyderabad,10-05-2012,DA Warner,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9
Jaipur,10-05-2012,BW Hilfenhaus,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4
Pune,11-05-2012,CH Gayle,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,field,Royal Challengers Bangalore,runs,35
Chennai,12-05-2012,BW Hilfenhaus,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,field,Chennai Super Kings,wickets,9
Kolkata,12-05-2012,RG Sharma,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,27
Chandigarh,13-05-2012,DJ Hussey,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,Kings XI Punjab,wickets,4
Jaipur,13-05-2012,A Chandila,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,runs,45
Bangalore,14-05-2012,AT Rayudu,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5
Kolkata,14-05-2012,MEK Hussey,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5
Delhi,15-05-2012,UT Yadav,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,bat,Delhi Daredevils,wickets,5
Mumbai,16-05-2012,SP Narine,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,runs,32
Delhi,17-05-2012,CH Gayle,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,runs,21
Dharamsala,17-05-2012,AC Gilchrist,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Hyderabad,18-05-2012,DW Steyn,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Deccan Chargers,wickets,5
Dharamsala,19-05-2012,UT Yadav,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6
Pune,19-05-2012,Shakib Al Hasan,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,34
Hyderabad,20-05-2012,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,runs,9
Jaipur,20-05-2012,DR Smith,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,wickets,10
Pune,22-05-2012,YK Pathan,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,18
Bangalore,23-05-2012,MS Dhoni,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,38
Chennai,25-05-2012,M Vijay,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,Chennai Super Kings,runs,86
Chennai,27-05-2012,MS Bisla,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,5
Kolkata,03-04-2013,SP Narine,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6
Bangalore,04-04-2013,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,runs,2
Hyderabad,05-04-2013,A Mishra,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,runs,22
Chennai,06-04-2013,KA Pollard,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9
Delhi,06-04-2013,R Dravid,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,5
Hyderabad,07-04-2013,GH Vihari,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,tie,NA
Pune,07-04-2013,M Vohra,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab,wickets,8
